id_sppg,nama,prov,kab,kec,desa,alamat,lat,lon,presisi,kode_kab_bps,kode_kec_bps
S17997,SPPG Parigi Moutong Kasimbar Silampayang,SULAWESI TENGAH,PARIGI MOUTONG,KASIMBAR,SILAMPAYANG,"Dusun 3 Desa Silampayang, Kec. Kasimbar, Kab. Parigi Moutong, Sulawesi Tengah",-0.14682,120.0193,kecamatan,7208,7208031
S17998,SPPG Jakut Koja Rawa Badak Selatan 1,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,"Jl. Sunter 2 No. 16, Rawa Badak Utara, Koja, Kota Adm. Jakarta Utara, Dki Jakarta",-6.11766,106.90635,kecamatan,3175,3175040
S17999,SPPG Jombang Jombang Kepanjen,JAWA TIMUR,JOMBANG,JOMBANG,KEPANJEN,"Jl. Raden Wijaya No. 14, Desa Kepanjen, Kec. Jombang, Kab. Jombang Jawa Timur",-7.57409,112.28609,kecamatan,3517,3517130
S18000,SPPG Cianjur Cibeber Kanoman 2,JAWA BARAT,CIANJUR,CIBEBER,KANOMAN,"Kampung Sirnagalih Rt 01 Rt 08 Desa Kanoman, Kec. Cibeber, Kab. Cianjur, Jawa Barat",-6.93564,107.13664,kecamatan,3203,3203120
S18001,SPPG Lumajang Tempursari Bulurejo,JAWA TIMUR,LUMAJANG,TEMPURSARI,BULUREJO,"Bulurejo Rt 01 Rw 04, Kec. Tempursari, Kab. Lumajang, Jawa Timur",-8.28778,112.97737,kecamatan,3508,3508010
S18002,SPPG Malang Jabung Sukolilo 2,JAWA TIMUR,MALANG,JABUNG,SUKOLILO,"Jl. Sidodadi Dusun Gandon Barat, Desa Sukolilo, Kec. Jabung, Kab. Malang, Jawa Timur",-7.94171,112.79863,kecamatan,3507,3507260
S18003,SPPG Aceh Utara Dewantara Ulee Reuleung,ACEH,ACEH UTARA,DEWANTARA,ULEE REULEUNG,"Jl. Tgk Dibalee, Ulee Reuleung, Kecamatan Dewantara, Kabupaten Aceh Utara, Aceh",5.23957,97.01759,kecamatan,1111,1111170
S18004,SPPG Pidie Titeue Cut,ACEH,PIDIE,TITEUE,DAYAH MEUNARA,"Gampong Dayah Meunara,Kecamtan Titeue,Kabupaten Pidie",5.20943,95.90928,kecamatan,1109,1109112
S18005,SPPG Lumajang Kunir Dorogowok,JAWA TIMUR,LUMAJANG,KUNIR,DOROGOWOK,"Dusun Wringinsari, Desa Kedungmoro, Kec. Kunir, Kab. Lumajang, Jawa Timur",-8.23485,113.221,kecamatan,3508,3508080
S18006,SPPG Bandung Cimaung Malasari,JAWA BARAT,BANDUNG,CIMAUNG,MALASARI,"Kampung Babakan Cianjur Rt.001/Rw.001 Desa Malasari Kec. Cimaung Kab.Bandung, Jawa Barat",-7.09242,107.55944,kecamatan,3204,3204030
S18007,SPPG Karawang Tegalwaru Cintalaksana 2,JAWA BARAT,KARAWANG,TEGALWARU,CINTALAKSANA,"Jl. Raya Pangkalan Loji Ex Pasar Domba Kampung Munjul, Desa Cintalaksana, Kecamatan Tegalwaru, Kabupaten Karawang, Jawa Barat",-6.52019,107.2144,kecamatan,3215,3215011
S18008,SPPG Bandung Katapang Pangauban 3,JAWA BARAT,BANDUNG,KATAPANG,PANGAUBAN,"Jl. Raya Kopo Km 11 Rw 08, Pangauban, Kec. Katapang, Kab. Bandung, Jawa Barat",-7.1,107.6,kabkota,3204,3204180
S18009,SPPG Kota Bengkulu Gading Cempaka Cempaka Permai,BENGKULU,KOTA BENGKULU,GADING CEMPAKA,CEMPAKA PERMAI,Jalan Tribrata No 02 RT. 009 RW. 003 Kelurahan Cempaka Permai Kecamatan Gading Cempaka,-3.82927,102.30344,kecamatan,1771,1771020
S18010,SPPG Subang Blanakan Muara,JAWA BARAT,SUBANG,BLANAKAN,MUARA,"Dusun Sukaasih Rt 002/003, Muara, Blanakan, Kabupaten Subang, Jawa Barat",-6.26077,107.65705,kecamatan,3213,3213220
S18011,SPPG Wakatobi Kaledupa Lewuto,SULAWESI TENGGARA,WAKATOBI,KALEDUPA,LEWUTO,"Desa Sandi, Kecamatan Kaledupa Selatan, Kabupaten Wakatobi, Sulawesi Tenggara",-5.50856,123.74618,kecamatan,7407,7407030
S18012,SPPG Bandung Cileunyi Cibiru Wetan 1,JAWA BARAT,BANDUNG,CILEUNYI,CIBIRU WETAN,"Komplek Cibiru Raya Regency, Kampung Cibangkonol, Desa Cibiru Wetan, Kecamatan Cileunyi, Kabupaten Bandung, Jawa Barat",-6.93166,107.74197,kecamatan,3204,3204290
S18013,SPPG Indragiri Hilir Kempas Sungaigantang 2,RIAU,INDRAGIRI HILIR,KEMPAS,SUNGAIGANTANG,"Jl. Lintas Rengat - Tembilahan, Desa Sungai Gantang, Kecamatan Kempas, Kabupaten Indragiri Hilir, Provinsi Riau",-0.53119,102.78248,kecamatan,1403,1403071
S18014,SPPG Bangkalan Tanjung Bumi Macajah 2,JAWA TIMUR,BANGKALAN,TANJUNG BUMI,MACAJAH,"Macajah, Kecamatan Tanjung Bumi, Kabupaten Bangkalan, Jawa Timur",-6.89955,113.06077,kecamatan,3526,3526160
S18015,SPPG Tasikmalaya Manonjaya Kalimanggis,JAWA BARAT,TASIKMALAYA,MANONJAYA,KALIMANGGIS,"Jl. Pasir Panjang No. 13 Kalimanggis Kecamatan Manonjaya, Kabupaten Tasikmalaya, Jawa Barat",-7.364,108.3208,kecamatan,3206,3206160
S18016,SPPG Kota Bandar Lampung Telukbetung Utara Sumur Batu,LAMPUNG,KOTA BANDAR LAMPUNG,TELUKBETUNG UTARA,SUMUR BATU,"Sumur Batu, Kec. Telukbetung Utara, Kota Bandar Lampung, Lampung",-5.43055,105.24581,kecamatan,1871,1871050
S18017,SPPG Bandung Barat Parongpong Sariwangi 3,JAWA BARAT,BANDUNG BARAT,PARONGPONG,SARIWANGI,"Jl. Artabahana No. 158A, Sariwangi, Kec. Parongpong, Kab. Bandung Barat, Jawa Barat",-6.82128,107.5801,kecamatan,3217,3217110
S18018,SPPG Magelang Salaman Ngadirejo 2,JAWA TENGAH,MAGELANG,SALAMAN,NGADIREJO,"Dusun Ngadiwongso, Desa Ngadirejo, Kecamatan Salaman, Kabupaten Magelang, Jawa Tengah",-7.57121,110.12835,kecamatan,3308,3308010
S18019,SPPG Pati Wedarijaksa Sukoharjo,JAWA TENGAH,PATI,WEDARIJAKSA,SUKOHARJO,"Desa Sukoharjo, Kecamatan Wedarijaksa, Kabupaten Pati, Jawa Tenga",-6.69297,111.08181,kecamatan,3318,3318150
S18020,SPPG Lampung Selatan Way Sulan Karang Pucung 2,LAMPUNG,LAMPUNG SELATAN,WAY SULAN,KARANG PUCUNG,"Dusun Sri Mulyo Rt 05 Rw 03 Desa Karang Pucung Kec. Way Sulan, Kab. Lampung Selatan, Lampung",-5.47058,105.55916,kecamatan,1803,1803092
S18021,SPPG Kota Palu Palu Selatan Tatura Utara,SULAWESI TENGAH,KOTA PALU,PALU SELATAN,TATURA UTARA,"JL. ANOA NO 70, TATURA UTARA",-0.9219,119.89888,kecamatan,7271,7271020
S18022,SPPG Jombang Kesamben Kesamben,JAWA TIMUR,JOMBANG,KESAMBEN,KESAMBEN,"Jl. Raya Kesamben, Gudang, Pojok Rejo, Kec. Kesamben, Kabupaten Jombang, Jawa Timur",-8.15,112.36954,kecamatan,3517,3517160
S18023,SPPG OKUT Martapura Kota Baru,SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,MARTAPURA,KOTA BARU,"Jl. Lintas Sumatera Kota Baru, Desa/Kelurahan Kota Baru, Kec. Martapura, Kab. OKU Timur, Sumatera Selatan",-3.85679,104.75209,kabkota,1609,1609010
S18024,SPPG Garut Singajaya Singajaya,JAWA BARAT,GARUT,SINGAJAYA,SINGAJAYA,KP. Cibuntu Rt/Rw 004/001 Kel/Desa Singajaya Kecamatan Singajaya Kabupaten Garut Provinsi Jawa Barat,-7.48443,107.91763,kecamatan,3205,3205110
S18025,SPPG Garut Cisewu Mekarsewu,JAWA BARAT,GARUT,CISEWU,MEKARSEWU,"Jl. Kampung Cibengang, Rt 01 Rw02, Desa Mekarsewu, Kecamatan Cisewu, Kabupaten Garut, Jawa Barat, Mekarsewu, Cisewu, Kab. Garut, Jawa Barat",-7.36463,107.55052,kecamatan,3205,3205010
S18026,SPPG Lombok Tengah Batukliang Barabali,NUSA TENGGARA BARAT,LOMBOK TENGAH,BATUKLIANG,BARABALI,"Dusun Barabali, Kec. Batukliang, Kab. Lombok Tengah, Nusa Tenggara Barat",-8.62174,116.31314,kecamatan,5202,5202090
S18027,SPPG Karimun Tebing Teluk Uma,KEPULAUAN RIAU,KARIMUN,TEBING,TELUK UMA,"Jl. Mt. Haryono, Teluk Uma, Kec. Tebing, Kab. Karimun, Kepulauan Riau",-0.26468,104.90823,kecamatan,2101,2101033
S18028,SPPG Kota Bandung Cibiru Cipadung 4,JAWA BARAT,KOTA BANDUNG,CIBIRU,CIPADUNG,"Jl. Manisi No.10, Cipadung, Kecamatan Cibiru, Kota Bandung, Jawa Barat",-6.91633,107.71921,kecamatan,3273,3273110
